M/Z,Intensity
549.1252,60.8971
547.2468,49.6383
577.2135,92.2852
591.619,71.6797
537.758,55.867
554.0947,74.0144
517.1028,63.6068
583.1835,84.5324
505.6037,23.7808
594.9132,63.5386
562.6125,57.6127
507.5409,64.6614
501.8619,14.8995
553.3361,38.4353
522.8389,47.5429
594.9334,65.3127
560.6115,70.6818
539.9721,28.3977
569.2594,80.5822
599.693,6.4149
520.5099,48.3314
591.0282,79.4066
503.7574,20.081
588.7701,74.1027
515.3075,77.0127
511.2128,65.4866
577.4849,9.4416
558.3449,91.6962
533.0961,86.0421
541.7751,61.9753
536.9498,87.1781
531.3879,23.914
563.0009,92.8464
505.6934,42.5889
512.2837,61.4971
512.185,37.686
585.4174,91.9547
562.1454,42.0114
,
546.9627,8.9716
526.3443,8.9313
547.2332,2.3647
561.9546,44.6443
597.5078,68.5747
559.0401,49.0223
581.2452,11.9727
569.1553,49.3239
582.4955,72.768
532.3182,63.9757
501.3254,65.5266
520.5354,91.0414
535.4304,79.4488
557.2797,50.9788
581.8572,85.154
594.3183,72.3505
553.5888,57.7493
558.059,18.9803
575.7719,9.9745
531.1922,22.6652
540.3113,85.9318
553.9675,50.6728
515.1077,51.0975
503.4972,76.4216
564.9121,76.8022
549.9696,78.3104
578.5063,28.8618
513.6283,77.0272
572.9641,70.4016
554.6637,24.1813
576.4384,81.9236
554.3359,53.8293
514.0519,31.5125
573.7207,43.8997
544.7759,56.3233
529.3617,3.468
513.7386,9.7899
537.9232,75.4272
565.9514,11.2371
562.7522,97.2959
596.1265,19.5518
542.7662,25.64
518.3584,85.6565
569.5126,94.0529
548.2042,78.1864
593.7931,63.875
551.3353,89.0157
533.0465,40.1608
528.6719,31.9826
568.5283,75.9559
,
535.6835,78.6064
587.9843,69.0104
547.4941,69.092
503.9207,28.073
502.7019,97.6055
505.4442,10.5102
509.4545,52.6976
563.6359,29.0709
558.9212,48.1139
519.3113,90.0598
548.0588,25.3699
531.9266,69.3096
534.5216,35.5848
