M/Z,Intensity
542.2099,30.5839
519.8357,73.2768
595.4293,48.8219
543.5994,95.3551
566.6652,3.521
593.4057,90.346
510.5735,33.023
522.422,88.3236
566.154,92.7742
531.3007,49.2294
548.8858,12.218
536.8732,74.2362
535.1919,28.8976
526.9747,93.3118
587.9064,39.2425
520.4261,41.8499
596.0837,77.4713
580.4604,36.0129
548.6765,23.9072
584.5237,64.7389
500.1488,30.9701
567.9906,65.9399
536.3776,50.0269
584.8406,33.0359
547.8843,5.8166
528.8057,50.7807
591.485,39.7217
597.7646,58.0353
543.7954,83.5938
574.8081,78.1717
,
520.6943,38.6793
506.81,48.7672
568.2138,96.086
515.6311,80.9149
502.4305,46.0355
,
518.2055,69.6593
507.0743,58.8366
594.6988,7.3499
582.3175,16.1876
543.8558,7.2161
540.3002,77.5235
505.5236,40.2124
531.3682,35.0084
553.7589,97.6293
597.6183,55.0802
519.5956,7.6546
513.2666,58.1423
564.6269,26.447
551.9054,17.7765
599.4666,81.4476
502.3513,13.9251
534.5488,78.1794
566.7626,75.6525
542.7112,19.7498
560.3213,16.138
583.0999,8.9936
558.9616,35.1209
534.9989,76.2128
545.4767,34.4747
501.127,29.5613
532.2687,58.1472
578.8483,97.5638
580.8501,57.1738
538.9352,1.7894
538.048,34.2773
509.2236,98.3989
572.4887,24.9416
,
521.208,50.0133
529.3038,86.7043
592.0096,58.3333
540.0258,60.4736
528.7297,63.7787
582.0807,13.0238
572.073,7.9015
551.7854,53.2293
553.12,93.1172
542.9078,89.6185
549.8531,97.2709
501.3264,85.276
591.3523,88.5742
593.9391,35.6923
555.951,43.7736
562.0939,79.6835
587.4952,60.5215
565.7076,83.6822
571.1694,48.3069
535.3762,1.5565
572.1835,97.2432
577.117,60.7993
586.5801,16.9372
,
576.1209,64.0481
557.9744,44.4923
562.3405,31.8445
508.362,71.2125
591.7176,13.0989
578.1379,42.5762
584.574,82.4817
515.5977,5.3988
537.3881,96.7312
575.5845,94.2538
500.617,56.8616
576.1085,88.9618
544.4907,57.6654
522.2531,89.734
579.442,65.3038
577.5027,68.7759
509.1087,13.0056
545.8767,16.5457
524.4367,94.0476
,
522.5282,33.7024
572.9927,77.0049
579.9505,31.4933
558.0642,90.7254
512.7378,53.1659
501.0193,62.6112
501.451,63.8399
521.0517,26.597
528.8622,88.284
548.0935,2.3006
553.12,8.8312
,
574.1547,68.012
544.0941,80.0644
,
554.9521,81.0707
567.6504,93.1428
580.8117,83.3246
530.329,82.114
518.0451,20.9264
539.3564,63.2078
568.0273,28.6429
578.3427,47.1675
575.4696,60.5881
507.4018,18.0656
570.0074,2.7191
516.0376,5.3278
538.4293,12.5417
557.1408,42.5075
569.2285,67.5999
575.8812,22.3791
552.6337,52.9751
520.5015,37.2103
546.1925,73.1577
505.7527,22.3106
500.6299,89.5612
551.919,79.9986
590.8626,54.1819
518.7122,23.1196
593.8724,38.8972
568.0818,93.5526
554.1117,69.0544
509.4309,13.2494
582.7638,58.8437
511.4433,24.0513
533.4371,69.6113
559.2554,79.7721
522.4737,61.8635
520.7266,99.7566
569.4372,10.7386
578.2673,62.5889
584.7275,95.7921
551.5031,91.2838
597.5599,49.572
,
524.5586,72.8031
520.8447,75.4215
512.2595,96.0745
594.2519,87.3215
567.8332,2.2712
509.9954,15.9308
579.9635,31.224
563.3664,4.9267
586.7792,28.9544
536.4337,29.3382
,
540.0951,41.9683
592.4279,64.2241
544.2073,44.2691
534.9635,6.6294
596.5186,82.9465
544.9091,43.1123
584.162,29.7154
538.9166,33.975
562.3293,48.5239
589.9524,14.272
,
562.4009,12.7274
575.301,51.3715
588.8281,96.1896
541.5051,37.5237
536.5497,94.1901
564.4694,14.2031
574.8457,56.0936
576.7984,46.1623
564.0884,13.3896
591.7253,39.0479
567.8643,1.5387
509.2041,13.5796
569.3463,51.9857
569.7575,86.0988
567.2637,41.9297
541.1837,88.2171
556.7417,56.2083
516.1366,41.7644
592.8098,49.6767
504.692,83.1766
575.0559,61.855
515.3617,57.6077
574.7975,49.2838
563.6882,98.7443
583.0354,97.8271
559.7185,13.3336
502.6408,64.605
500.0667,51.5782
556.5142,44.2377
520.9196,14.998
567.5862,92.697
532.2642,33.1658
512.2305,32.2459
556.5055,80.1715
564.8208,53.2576
562.9442,57.699
540.7818,93.2886
596.3401,45.3793
525.2028,79.3728
505.8135,4.346
598.8212,4.9862
,
531.9844,66.9008
503.4653,52.9703
534.9618,17.7829
543.7091,76.4573
536.7686,42.6099
572.3252,80.4849
587.7311,90.0954
507.9756,71.4992
565.0428,56.8285
516.7091,68.304
521.2549,35.7472
526.4085,53.3346
528.8715,24.8278
502.8352,58.8443
590.6016,88.3356
507.6552,57.1468
594.7887,87.7753
597.6128,23.6013
550.3161,72.9925
592.7398,71.9107
558.5411,71.9474
517.7469,19.5678
505.0467,52.4939
571.8416,37.6043
592.9649,43.1657
596.7908,27.65
568.9038,92.9328
557.8548,90.8892
514.0179,34.9309
559.3283,81.5076
503.9036,92.0726
539.2397,22.7998
558.0536,91.8928
596.1804,96.2693
564.5815,55.1889
552.7654,80.982
543.6388,54.6678
576.6724,27.9175
548.6292,48.5436
514.4895,81.4108
579.0869,88.0053
588.2084,91.5911
599.688,27.6167
504.6885,59.5316
516.2949,82.3102
544.0224,57.4908
531.0693,87.0994
593.8541,8.6155
522.6749,50.7567
543.8567,99.0895
545.6298,6.0274
573.4173,86.5025
552.8955,71.8429
592.5633,96.459
534.167,54.9641
556.1935,85.7714
533.7701,94.0698
525.2611,29.0079
542.3067,33.2122
574.4862,53.85
531.4287,11.6796
558.925,84.1601
508.0646,20.2641
565.232,92.0811
589.7356,20.3364
535.6613,28.2589
505.3396,14.9218
,
580.7417,2.7387
507.1614,88.5188
568.1537,33.9743
575.6924,52.178
513.6222,1.152
524.6895,62.6377
530.3318,41.07
567.2193,80.3977
531.9972,66.8022
589.7913,32.5123
522.5446,43.4255
510.842,34.755
564.3895,22.8143
545.4013,16.7949
512.2309,89.9785
536.1631,76.2362
539.8052,16.243
512.9936,44.1765
562.258,89.0728
564.9545,50.0729
522.6647,59.297
596.8176,31.4133
556.6428,75.7998
545.415,97.6952
529.2777,60.5213
579.2928,28.6476
571.7349,41.2193
552.3103,36.195
539.6638,52.0707
544.8194,92.4093
578.0247,7.8964
512.0961,7.8247
585.9903,89.5626
584.4179,17.3402
557.7166,70.3627
530.858,65.2217
554.7775,70.891
540.6061,40.5582
591.4824,64.7412
526.4895,66.8118
561.5117,72.4387
545.168,8.4865
508.1085,36.3728
578.0881,9.2766
596.3199,55.0793
546.7421,13.3535
510.3937,12.4082
553.3477,83.6133
569.7621,75.023
504.6028,83.9331
532.2924,52.7353
565.8913,74.4748
504.9953,70.6869
596.3657,48.2585
537.2085,75.6115
530.8812,47.0158
598.123,94.0266
521.3709,75.3098
532.8359,66.5517
583.4941,44.826
551.1728,59.9798
590.9959,75.674
