M/Z,Intensity
423.7207,17.374763
423.4542,51.371676
440.5591,14.214164
485.0775,48.442783
409.6482,40.244162
477.1999,41.83518
499.0081,21.393105
421.8978,41.063307
448.3428,36.811991
467.0777,3.205883
426.1419,1.790494
465.9872,37.987576
490.539,27.208376
424.4042,41.180129
430.0965,51.216754
413.6241,21.586298
402.2521,
,8.424492
471.9336,42.602088
466.5999,46.461971
467.0972,34.924394
440.9962,47.785882
479.8115,9.288804
416.8124,32.562855
430.3839,2.798669
419.4603,26.042439
460.7421,7.708069
442.8416,41.545044
413.5046,37.974409
450.0071,31.261512
,56.475382
433.6691,2.755884
448.523,28.919815
400.044,6.763031
495.4211,9.246481
414.9155,56.498281
494.4175,56.408804
481.1135,4.353007
436.5105,7.973469
405.8657,29.822635
443.9064,
497.9037,16.676699
414.4075,49.364188
413.4681,28.163879
428.5632,17.355681
401.0603,6.018918
485.1212,42.955908
,51.34465
477.7692,15.127123
448.7726,22.161924
444.5876,5.917052
440.1663,55.828053
479.7226,58.356356
435.1963,43.821801
431.3673,2.677529
480.8197,37.669514
476.1022,12.351303
429.9119,7.697229
465.3383,52.742381
456.5708,37.965403
401.0376,51.987452
477.026,27.245969
429.8283,27.619668
428.9231,42.936394
409.6885,18.180186
468.707,40.722199
473.1792,48.483022
414.7852,35.431485
433.2606,29.678588
406.5302,22.403419
494.8797,9.777802
485.1915,48.827427
418.388,32.391635
,24.389893
410.0534,31.71106
400.7472,43.90581
446.2414,33.600343
485.2384,44.000178
404.5395,52.482681
421.2512,19.913528
433.612,24.506632
463.909,36.51832
493.7552,4.942999
471.3288,48.940011
454.7691,27.349691
479.2826,35.010681
438.0572,
491.1785,32.158578
482.6439,54.14042
446.2711,46.807307
437.6487,40.505681
481.7649,36.542428
483.9684,59.026011
406.8218,18.708941
453.7205,38.673477
437.747,1.961906
422.8591,44.147408
455.5378,36.958009
405.5012,13.02763
418.2816,30.35609
413.7377,11.996764
461.0913,55.840205
412.1459,53.075698
404.5431,53.39454
461.5804,9.49299
419.2344,32.904795
457.3027,19.722675
464.1781,24.809024
451.241,41.199991
,25.693693
451.4059,30.829562
482.1134,2.400299
