M/Z,Intensity
593.4987,20.4743
558.204,38.2731
595.8913,23.4346
517.6114,71.1916
543.9715,88.6722
500.0133,41.3717
573.4805,94.6722
521.8279,22.3557
576.9791,11.5179
568.3755,8.5782
513.6895,45.7205
543.2883,46.2356
520.879,13.8315
559.4799,11.9537
506.3256,18.7381
564.3738,32.2479
597.9636,99.8826
509.2613,25.0222
513.3176,41.5334
538.7443,49.6889
559.9688,90.9164
554.2824,98.1455
534.7884,13.3982
566.4158,37.9013
540.6964,70.6738
570.9819,85.6208
569.2766,99.1316
580.576,3.3126
551.8149,91.8336
567.6011,20.8089
560.9991,96.0232
545.4791,68.0077
521.2999,19.072
506.4628,13.7842
580.9463,60.7415
503.9286,24.6791
557.6276,95.291
559.3447,70.6159
537.1844,14.3512
585.0031,48.9028
594.7689,47.7628
597.8637,54.3628
556.9388,92.1124
541.217,43.8721
528.1033,82.0258
557.393,29.0097
518.228,66.4078
514.3202,91.5186
550.073,65.8024
567.9211,32.7027
586.72,91.5041
582.3716,43.0618
565.2607,52.3481
552.7497,75.6976
564.2968,58.1875
567.0934,42.1005
538.4441,2.1644
552.5851,2.4409
524.4784,2.638
569.8748,99.1563
599.7717,95.0173
592.7843,15.4941
547.415,41.1839
501.0128,65.314
529.6389,68.2914
533.4545,89.5752
556.6022,57.4493
552.5374,75.4075
580.7014,64.4415
509.9551,11.1366
531.4549,94.9687
556.5523,84.4863
556.2817,31.2177
583.5061,75.4616
585.8503,63.4313
541.9476,73.5597
597.9418,70.8769
559.7983,6.4904
561.7297,43.8598
553.3861,22.4375
515.6306,29.8884
565.512,81.3249
519.2644,70.1608
513.7014,53.7974
504.9143,37.1458
565.7839,73.0901
569.2454,40.4625
511.3171,3.4172
565.0224,59.7989
515.9066,15.0969
518.1988,25.9667
518.6987,56.4166
522.3794,93.9653
524.597,93.2994
584.2733,47.8676
552.9641,19.6781
580.1988,69.8902
507.9323,10.4711
567.2923,27.4392
563.4893,77.6898
527.2031,45.396
599.5248,92.841
538.2316,4.853
518.9165,15.0781
560.3775,68.2135
525.1705,39.5788
569.1504,6.3217
527.1942,37.1233
581.0784,62.7441
513.1662,13.7562
584.8913,55.2979
