M/Z,Intensity
461.167,36.341144
437.1593,6.605573
485.9192,57.75328
427.5995,11.99561
484.5577,32.996025
417.218,4.058213
481.719,24.601273
434.7522,42.533325
459.7825,14.898244
490.6522,44.181039
424.5477,7.796583
495.586,24.234541
441.6305,40.557999
430.969,14.60482
452.7813,32.049629
418.9756,52.231617
487.8189,6.330723
409.9544,7.879732
486.4591,36.490383
482.4211,31.605346
472.7789,50.427818
471.97,30.799459
413.7258,15.930623
405.4916,
479.8126,48.99332
432.4872,35.012949
415.2689,40.496228
462.504,41.737618
421.7653,31.35619
469.7722,44.631876
401.2819,35.958025
467.9017,36.709516
441.0797,54.146473
428.5602,37.475804
487.6753,37.519846
497.2541,27.031921
455.0246,14.771639
436.4873,11.114273
402.2779,2.483033
471.9286,57.245821
426.2595,45.074221
450.8547,
419.122,44.004628
422.0692,47.493514
494.1822,46.00929
426.3722,33.721543
407.4098,43.792597
499.1373,45.041511
437.9633,39.258894
430.1851,3.375321
495.1546,23.64785
482.3412,52.154448
492.7576,22.788706
437.8193,55.393084
420.3792,38.877322
472.4021,30.091208
421.9915,40.540331
447.0598,33.202833
438.8956,16.31869
431.4146,16.679398
433.2046,50.484752
465.5527,45.016469
406.8004,39.509822
433.0876,
407.1567,15.225692
481.9762,39.470141
432.4505,58.407255
425.3317,57.696506
490.4954,46.328168
442.855,46.65879
432.5711,59.300806
463.5327,19.14494
457.04,14.542111
415.6052,13.962332
489.5121,16.666903
457.351,43.835953
476.9028,25.284604
403.358,41.080876
423.8962,21.462256
427.4373,54.997662
463.0438,35.893471
461.497,25.517302
425.9719,
450.6694,47.215463
480.3948,17.824031
475.8242,41.092815
412.4883,17.645294
481.5016,31.744704
465.9423,49.244873
491.4465,44.40931
,
464.6784,21.168973
401.5668,37.349176
497.3382,15.981107
439.7587,2.509643
461.2639,40.456939
425.1199,57.97599
427.0951,20.934103
449.6895,40.371695
,51.897388
421.3592,
451.7799,33.636219
469.4792,5.802918
465.9555,42.847673
430.3622,
432.9344,14.84837
493.565,41.605593
436.2098,4.292904
406.4321,24.739333
412.9487,56.343038
420.8765,1.397601
463.9699,43.645263
421.0566,9.915116
401.9981,58.840146
499.2042,12.631317
410.029,41.771229
449.7771,
490.1447,15.535639
437.6298,28.221243
450.3312,29.295596
423.6794,8.386803
444.4654,28.780719
446.1636,
420.2579,
499.867,44.688338
453.4001,58.952379
447.6208,35.831083
426.7523,5.51597
459.8466,33.345129
419.1501,50.647577
425.6881,54.456647
458.1382,39.996404
452.7062,42.176867
466.0909,13.080549
403.0419,39.541488
479.323,5.889007
439.784,28.343192
458.3161,21.475639
420.111,39.697445
456.6891,54.32511
440.3517,1.506051
497.1334,26.341769
450.7826,50.466971
477.7361,7.485652
402.7771,21.26167
424.5902,30.634609
434.2008,50.470858
406.9219,33.195779
429.3412,12.077795
490.2346,26.693996
499.2517,46.521439
479.1981,33.711171
403.8347,7.463284
498.7037,10.184631
447.2413,1.680042
409.8416,27.426709
413.6058,49.189943
446.4318,41.618431
463.4511,33.224112
414.7365,53.347998
425.2905,48.33587
488.5261,33.755169
467.0244,54.755904
449.6359,38.158403
444.962,39.240089
419.6359,29.481381
495.6391,23.977457
440.3073,46.715222
456.5422,16.609989
498.5639,18.194471
428.0206,30.765062
418.6506,45.167447
431.9299,27.12302
461.7715,16.235656
428.0258,22.888944
470.944,20.572723
444.887,13.076083
431.8742,37.346354
467.2152,21.143076
406.7002,45.467099
454.7978,7.041774
416.5604,3.399263
421.4564,51.477941
409.038,37.638941
410.9342,5.624291
466.7066,2.722661
479.6641,8.557264
419.0875,31.24395
444.733,53.634316
489.6916,2.186971
407.5451,59.961806
481.9322,21.593543
402.7322,
452.8588,53.044602
454.0214,33.072668
404.2133,32.900372
,41.506553
451.2355,22.033311
442.8326,3.596177
498.0442,35.808881
426.2104,43.389986
412.1881,4.837882
446.7914,2.067329
484.5179,29.512488
464.3992,10.887574
453.6647,45.685409
436.3299,45.501274
472.3998,43.267277
476.3261,5.831802
446.6967,50.233245
474.4239,58.57301
461.6298,6.054715
435.2452,33.808913
465.3789,36.671846
