M/Z,Intensity
583.9113,11.4162
503.6256,94.6046
531.8775,54.7652
580.3052,17.671
556.3547,48.4462
571.5452,72.5168
550.4322,8.13
505.9123,46.7892
514.9104,11.6395
536.2342,87.8675
589.2791,28.378
548.9941,32.1474
578.7898,73.8692
558.9224,51.8316
544.1166,40.6069
599.9705,26.3026
579.621,62.7233
528.6419,98.9962
551.849,49.8855
527.0009,30.7971
527.2225,20.3826
598.9431,31.345
553.942,51.0008
,
518.4421,77.8489
527.8748,83.1433
502.8774,70.0335
517.398,9.2597
591.4306,8.9309
518.4843,12.493
548.6673,62.4665
588.2971,86.7503
512.8664,4.3315
570.3942,97.5474
524.0311,41.2156
568.0994,19.3221
508.3411,2.2335
534.7829,31.6024
542.0292,6.8872
,
585.5555,89.1308
528.1001,41.5423
561.8789,13.1828
597.1589,27.5631
564.497,7.8863
565.7005,58.4641
511.3308,97.7428
534.1141,21.7639
558.9745,24.2504
554.7523,78.0104
566.0492,65.1096
550.0227,17.8489
570.8375,93.5021
537.4366,50.6712
549.7886,95.0516
544.6416,44.5126
550.1998,62.4396
552.6051,18.8053
591.4902,24.9572
592.8283,24.9344
557.5104,92.9537
584.3365,62.7762
563.2427,19.228
560.6454,98.0497
573.6268,88.9784
588.2862,46.4421
547.5191,97.7361
553.0454,9.6891
502.6249,26.5992
578.0318,59.6188
508.8503,76.9589
529.5096,15.1477
577.2673,39.7151
593.6628,29.6939
543.323,55.0057
579.6955,8.2194
532.1056,64.4913
527.5592,74.0957
582.7223,82.663
555.6228,24.5886
536.7944,26.846
540.0344,78.0226
561.1589,11.4796
593.8965,25.0262
534.0969,56.4428
530.915,90.0403
551.7759,83.1441
568.9548,24.4702
565.0861,8.4433
506.1282,51.9235
570.3478,79.357
581.478,78.2749
586.7873,2.6282
551.3226,45.5829
593.5886,40.8631
510.0396,72.9334
570.1148,3.5497
588.4252,85.2033
544.5683,67.1997
592.9446,48.6949
,
501.1988,20.6556
563.0007,78.746
579.9555,95.8378
539.4815,81.8418
587.5328,42.3505
508.6845,84.3129
524.374,49.3507
500.2436,8.1186
555.2663,24.2979
553.7845,38.8693
505.6614,17.731
526.7363,95.4976
544.9508,4.7062
540.3784,93.023
591.8999,94.6729
576.374,27.562
564.6826,4.3497
541.6356,13.1415
507.1031,75.2499
513.7794,9.9068
502.8209,87.0154
584.4222,35.3311
547.6754,63.3797
569.1977,9.9544
531.9819,95.434
552.5864,54.6088
544.6106,84.2935
518.5895,98.6691
583.9657,41.2389
502.871,3.0409
584.3491,59.2546
526.2262,46.6661
575.7968,67.7161
593.8242,26.9125
541.8968,54.3648
500.8071,26.4387
522.4034,78.4026
580.7464,3.5621
518.6253,27.8067
513.7167,2.681
553.6827,53.5016
511.8755,48.8303
548.4424,30.5884
576.511,83.2953
531.2339,74.6833
591.378,78.9201
569.8426,10.5465
546.7725,35.6374
531.7823,99.0514
542.0377,52.4081
509.6775,63.3769
599.8139,99.7287
571.2822,46.1774
583.6333,49.9261
536.0505,61.8117
535.5345,14.502
594.1926,9.0073
578.775,66.2116
596.8938,33.3226
565.542,22.6928
559.6643,3.4632
511.232,95.7201
536.6981,83.1201
519.0849,32.4807
569.6474,45.6895
524.6334,14.6388
575.061,96.5707
531.3074,70.5975
599.0881,8.5387
518.0831,43.8461
593.0091,11.6267
522.935,15.7127
510.6245,36.3866
510.8307,9.1154
572.3249,94.037
522.7331,29.0878
533.1582,97.7563
597.1141,81.2053
591.45,92.2118
546.5471,40.1081
591.1615,8.0324
560.4558,99.6517
503.0351,86.1595
541.7116,24.7622
589.7967,81.7143
599.452,4.8113
526.7819,85.0327
575.1076,33.8694
515.7478,38.5591
555.4902,94.4258
518.1623,83.087
552.7842,31.0892
533.4855,39.8249
531.825,75.6101
543.7828,9.747
546.2052,19.1889
517.2665,17.0644
520.7664,69.8542
574.1709,80.4933
520.2525,66.3464
,
570.1401,19.2979
522.2225,52.3572
514.2792,56.1204
542.6764,53.5689
577.5467,63.7643
546.8826,49.6954
554.046,38.9866
528.5478,79.6892
580.8035,33.7074
570.7076,84.326
554.666,30.7783
522.6441,29.7496
564.4301,26.2044
536.5318,71.3092
556.6348,23.6789
554.1468,50.9659
550.9416,47.6541
550.8046,63.6637
567.2539,42.0665
514.7998,85.6894
504.4562,93.0563
570.7837,61.1752
563.9884,98.1704
545.8608,98.5711
568.89,22.5285
521.1709,11.6465
578.5211,27.3798
569.3493,73.2132
535.5022,17.2474
512.1161,91.9199
547.9732,25.5731
571.6867,51.6216
528.2609,82.3077
570.3299,92.4955
587.1575,66.7264
527.5861,11.8509
554.0546,31.8459
571.9789,80.8252
,
523.543,78.2136
574.4692,61.3618
544.8345,52.3152
589.3738,6.0787
566.7532,64.4777
595.8575,48.6302
500.4229,42.0108
551.4125,85.9649
520.4607,83.286
560.9758,18.9742
517.6724,14.9736
543.6428,42.7566
576.6944,62.897
521.9613,61.8108
539.3306,78.6823
585.553,12.2558
