M/Z,Intensity
416.9304,54.238985
447.2431,42.150833
445.8092,10.778019
449.328,58.023582
465.1367,42.110142
453.098,40.963041
455.8793,30.091636
423.6104,31.914079
421.3956,39.699148
457.7718,5.833798
499.2557,21.64294
491.942,51.919255
458.056,5.661052
416.0631,5.850745
444.1049,
442.2793,4.83239
461.6915,56.151729
489.2847,10.987181
495.5496,37.413742
485.7189,44.413309
487.7171,15.464695
447.789,5.500316
407.7136,9.868206
402.2621,
430.269,49.913114
457.1737,35.141072
454.5507,25.4893
470.6615,
490.4642,50.561968
431.01,8.524768
457.0007,46.94849
412.4457,4.975675
448.7217,10.866211
455.9642,27.050486
402.1699,27.317091
449.0509,1.089526
461.5388,35.593917
472.3537,24.739571
451.0075,18.552812
402.9679,34.842294
434.0414,15.371083
493.7874,6.700025
496.2264,38.883996
491.9794,45.178996
461.0769,18.585615
427.8812,27.067242
438.4638,34.908362
408.9754,28.02083
496.6187,43.736839
437.0033,27.251884
458.48,8.769161
443.6611,29.010166
428.5663,46.746277
491.1281,20.770643
472.6246,
477.0919,24.628436
424.3247,48.956119
442.1227,7.537252
457.021,10.211735
409.2756,26.169919
410.3115,16.662709
477.3128,44.786675
472.5492,21.062042
417.5953,20.079008
407.7631,26.262576
466.7723,
425.4062,48.907565
495.5521,
490.7781,10.603124
440.714,42.472379
460.1977,36.960448
454.3535,40.908898
436.2927,49.808129
418.8038,23.611599
457.7461,40.102691
413.7535,51.104278
412.1114,52.179328
414.1059,34.105103
439.9235,53.05816
411.0593,18.874317
417.2822,3.307914
415.0353,14.761996
427.2591,24.528727
477.4738,16.240339
440.0815,18.462423
426.4149,31.510018
,53.226849
471.2609,44.133749
415.9781,35.402098
405.4105,27.917778
412.3568,1.819991
482.8122,23.498377
424.0017,11.77596
479.9244,12.629052
475.8611,37.729224
482.5877,10.199933
437.1514,59.293609
409.6962,57.573808
452.4483,41.536171
488.8784,43.022727
437.6107,14.250747
493.1668,32.653594
498.7248,41.761257
498.1968,49.82576
428.4734,1.473148
404.2453,30.590411
453.6552,20.891895
406.3076,31.782101
451.3568,11.514155
472.4396,9.521099
440.3365,53.680277
480.0015,56.649638
424.4288,15.800687
481.215,9.326827
449.6831,1.114192
499.2523,26.286628
465.7854,14.271806
400.8354,19.580338
406.4578,33.130784
499.6301,50.101659
457.5322,13.505646
471.3791,19.116224
459.1922,
402.5319,58.67047
489.9378,5.011011
407.2735,17.253291
497.3928,4.980837
413.4505,45.987417
432.5956,51.254153
423.4915,47.505794
412.2944,48.526984
465.6417,25.001639
,14.705454
461.2327,7.291743
457.3119,6.268752
468.7082,42.285532
459.2975,40.878553
468.274,28.142513
476.8728,
428.5217,
452.4192,30.497843
417.6946,55.480195
453.8111,46.440849
440.8095,10.034203
441.4021,25.755011
469.6679,31.801174
462.7069,48.090266
491.5851,59.00523
488.3587,35.680533
492.0104,52.280545
424.942,38.308782
476.5514,45.504535
450.0901,41.409408
432.9439,34.087681
414.3532,17.919261
416.4658,55.208256
449.4254,59.928353
436.2692,45.01075
485.916,24.620023
491.8892,23.786667
432.5217,41.424294
420.2269,33.502613
420.9105,42.095925
476.2443,30.141478
441.9437,28.063035
409.7885,40.302665
420.1603,7.263301
440.8163,13.69877
451.1806,48.380419
440.0482,13.103153
457.7218,6.35085
489.8451,10.85623
425.1185,48.461461
403.6062,5.691697
434.6094,24.371304
472.6261,54.389225
495.6368,4.790678
435.5983,37.177432
497.5819,40.384142
448.6427,
408.3262,38.845276
415.8345,43.758607
445.0142,1.72678
447.409,24.510496
448.7794,56.437653
494.7735,12.810254
498.9595,51.23785
476.8885,46.110926
436.8439,
462.5358,49.623613
417.5076,32.147922
400.3277,50.254176
439.1964,40.98219
410.5235,58.7838
408.7471,55.738403
402.753,34.236127
487.7778,17.689039
449.4215,52.239434
439.2064,22.348359
472.7846,30.776197
475.6363,21.25572
,20.033579
454.5065,
492.2088,10.323015
401.5674,43.551238
430.393,33.186263
411.2017,15.808739
,58.63596
456.8821,16.198153
405.3489,37.360307
401.6664,55.626435
481.6795,20.030467
487.0381,
474.4793,1.638991
,26.176103
461.2453,58.558262
450.805,22.764996
409.46,5.836276
474.8037,48.08244
406.4928,32.153948
438.8247,53.780031
454.1492,20.444301
448.551,53.027971
495.7048,5.243702
405.6537,48.1216
449.0585,51.876006
419.2323,32.49756
423.7907,51.283144
434.6972,45.743732
452.6777,49.416873
491.2109,19.611455
427.8719,34.708514
414.3689,54.026166
444.0853,52.270415
484.9793,
489.2505,29.635227
424.1204,53.291271
457.558,53.288308
461.3857,45.942632
409.1784,12.601502
437.1825,5.139962
460.5144,35.054548
402.2317,50.74619
416.9029,10.805313
422.0726,9.341665
486.4501,51.966574
481.819,23.705892
492.2058,11.685739
431.4911,49.628174
426.9531,7.821043
494.7894,48.735996
417.6477,8.984477
459.4553,48.615372
493.9481,39.664184
485.537,14.115061
441.179,25.919673
434.2565,30.582981
497.8228,38.376648
481.5431,
461.2504,27.904071
403.6956,59.5496
410.435,1.37518
401.3653,29.137709
430.3588,26.867252
490.5303,59.455207
441.8877,21.864476
478.3453,31.47594
408.9948,12.27312
449.3273,32.310158
468.3825,10.384352
443.8252,36.547644
426.3999,59.897902
450.3803,12.757853
407.773,42.191173
417.0041,36.27767
442.3427,27.761914
416.3219,21.489227
458.887,37.791954
474.9499,26.902446
434.3781,10.136218
451.7355,1.336126
472.7597,1.185974
460.5961,56.143447
495.1077,10.778859
455.4966,55.673887
406.871,24.454032
492.5936,40.70208
437.0636,39.314697
437.0511,33.331419
492.5415,36.815086
425.6372,4.37806
483.9063,8.196633
424.9614,11.610411
440.4089,45.767775
460.5969,52.215244
469.5568,37.768703
485.0038,26.411677
478.035,32.860038
414.1574,46.431914
,
464.1605,1.591206
486.5244,43.192067
420.1377,11.407926
496.757,13.144368
457.2336,20.557299
469.6038,42.288099
414.979,45.778745
498.456,
473.4576,54.468973
,25.812437
487.8133,11.989197
489.503,44.660841
480.1846,21.244655
404.4125,16.090291
499.5078,44.430935
414.7614,2.113392
405.1306,22.158818
422.0736,49.125482
482.4631,59.8463
402.5823,24.611129
,18.669376
420.4792,22.836366
441.1567,57.569031
426.345,26.716193
403.348,43.708105
477.3028,
440.0013,58.186563
421.4073,13.663547
446.3013,13.95836
406.2953,49.567343
438.5834,15.985036
461.8512,56.967338
475.4865,39.074414
485.8185,
424.2736,45.115621
417.0239,8.710396
481.3243,34.421558
492.2903,54.29242
461.3932,13.219994
488.3397,41.966567
420.3656,51.1718
473.8903,40.338051
456.1547,42.447673
466.3211,16.634106
459.8569,42.210316
438.6491,24.097946
453.3243,40.367981
481.7725,27.367289
485.6942,27.413057
468.3252,10.993341
457.1079,21.757067
428.4553,44.876242
437.2003,46.982916
494.9264,44.615048
455.8514,47.477547
409.6198,1.500363
488.4094,31.558775
411.8543,39.287417
420.2487,1.717425
452.4184,19.579247
421.3368,2.817005
476.7182,18.178789
447.2086,57.25086
,5.446362
400.553,36.556971
410.103,49.864086
477.7468,3.521517
457.869,53.419766
406.0324,2.41992
455.5567,18.179753
478.142,42.41064
481.1576,28.968111
429.7676,18.477165
474.713,20.294814
447.2382,20.244307
431.2202,43.545354
474.9313,39.524375
452.5631,14.646677
421.2651,43.674768
478.8564,55.608608
477.9715,38.002306
478.6367,20.057171
405.0415,4.280835
461.5176,55.649348
450.1415,
429.9688,38.326152
482.4356,22.524232
470.1595,34.683053
457.3158,17.592816
403.4162,10.770801
425.3272,34.689297
434.112,2.410055
455.9811,48.662945
482.9991,15.829364
470.7501,20.003026
401.8371,14.65014
437.2939,45.836456
428.1081,39.240002
470.7022,39.38104
406.257,
451.3931,17.67631
492.8426,7.049024
419.3015,12.079929
481.7439,24.147696
497.8673,32.411297
433.9804,36.720073
463.0484,14.191109
428.7381,55.310082
409.1307,6.891898
485.3402,49.072402
448.1072,8.059817
493.7703,25.127538
422.0735,4.446323
452.0302,56.912318
490.3929,35.014662
469.0631,7.532736
462.3956,51.428231
486.2867,16.721886
481.3598,37.860792
454.7174,15.094835
426.7431,44.190274
440.123,52.82694
412.7299,47.198172
485.8083,11.326591
409.0237,25.610753
464.1419,47.637951
453.4445,6.760385
420.2549,23.085338
474.1843,20.809686
487.5861,23.698606
476.7274,34.653279
479.0693,39.765262
467.47,39.826362
443.1151,43.569023
449.9734,20.336516
407.7788,42.984439
424.415,57.48057
494.4569,18.008906
420.3511,31.032679
423.4494,7.797564
417.1299,12.328785
412.0302,31.777287
434.2515,48.141445
412.5388,26.71061
453.9309,52.74192
475.5898,8.328303
478.7567,30.085092
445.8153,25.387164
466.1937,51.975617
421.8003,11.656649
441.1984,24.113107
435.4954,17.02143
452.0367,51.137005
492.4656,12.16048
448.5165,31.016157
494.41,1.926991
419.7729,47.758458
499.2096,14.601185
489.365,53.179953
436.8382,40.70324
488.9782,21.925911
450.039,33.493275
493.9556,2.543047
403.9504,45.87397
416.7802,48.656118
473.1325,16.844371
464.4254,36.483338
431.5041,56.86337
446.0542,19.188773
423.3826,40.486272
442.2552,59.903783
420.1031,9.344223
449.5373,46.468422
450.5533,8.254293
462.827,43.193558
416.3474,1.694627
407.9191,15.35032
412.5851,12.876694
408.8823,52.891728
456.7904,1.476233
485.7247,12.209781
400.4527,45.004506
498.8404,57.750908
458.341,13.132748
490.2535,55.464926
443.8004,32.632306
482.831,46.962764
446.106,2.04285
467.5208,57.350743
488.3319,25.45518
424.2741,38.151347
464.2747,29.702381
484.4693,47.32549
492.7473,
464.0974,7.939323
463.4431,26.680403
455.1492,48.756515
428.6928,29.431851
434.4106,
452.1716,49.601733
442.0838,5.25767
476.9028,28.907089
400.0167,9.643276
417.2272,27.44123
427.8738,18.135095
435.1031,42.727361
412.325,34.627582
411.0908,24.934517
430.4734,19.75879
458.4711,28.833171
419.1641,39.741789
453.4456,10.872116
422.1072,26.663465
409.9785,22.051392
432.1534,35.135036
463.3419,59.812489
489.5344,3.206184
469.1677,26.877442
404.7652,24.783369
422.939,55.38623
428.7858,56.650247
473.5363,17.833044
446.2022,37.845558
443.1758,44.452809
410.4743,25.120599
475.7373,6.550592
415.5459,15.903763
477.8385,40.815678
424.0245,
409.6911,41.196473
487.3071,33.393758
496.7874,2.421147
,5.250694
434.6429,22.098213
427.051,42.834171
449.6618,7.924403
454.6604,18.189434
,23.962109
457.0359,27.014073
488.6593,53.081471
430.174,53.024646
498.224,4.896913
465.8086,28.694039
444.1091,13.960032
497.4067,9.593945
438.2367,27.654441
457.8504,12.289222
454.1675,42.146687
417.3055,19.522829
403.9228,4.779129
419.4109,4.73798
452.324,30.331327
458.4464,58.959655
452.1329,59.401386
412.4849,2.283345
421.8113,16.362359
485.4738,56.594908
417.3365,27.861385
418.932,21.129232
485.5948,
435.3651,52.293833
460.5987,48.197849
435.1214,11.848447
421.4912,51.130333
457.009,29.809573
414.0777,23.928867
405.5958,38.5141
472.4639,45.023248
415.4323,46.307148
481.7755,55.708651
424.6308,25.187445
447.3656,39.294637
455.473,49.167185
474.8388,16.878155
476.214,55.492316
445.9738,20.58593
453.9324,13.065803
404.3814,8.866265
426.6452,8.024822
416.8447,20.087203
468.6093,32.187617
479.5298,9.581721
499.7959,55.101807
416.0324,53.074287
417.3794,
433.664,40.613991
493.3335,3.706244
405.8961,
448.2225,4.937199
483.2502,25.584913
476.4064,48.822178
408.8716,54.63471
405.8239,27.554955
402.8496,13.851719
457.0846,30.307744
493.4515,38.517556
461.3366,16.379804
420.5558,16.225949
455.3151,38.165806
491.9292,21.695358
452.1872,21.197077
483.8894,4.853323
479.573,10.075531
476.2137,46.077077
411.9149,36.377174
,46.15995
480.4025,39.45984
433.773,16.566853
401.6509,18.659649
491.305,49.795737
485.6107,58.99593
419.2713,10.41007
400.2491,12.198609
456.3195,9.329824
487.0383,8.727217
,19.647363
424.1612,52.117277
486.5387,14.639196
476.3315,23.128192
459.616,35.782279
408.3785,19.886314
470.2029,55.542101
448.7691,26.635598
