M/Z,Intensity
436.8239,5.387812
437.6182,33.427027
444.8393,4.599289
432.6258,27.646137
414.9025,9.045397
484.0667,58.146561
476.5237,17.889409
499.919,50.878081
469.2557,38.023394
417.3922,42.501003
424.9877,
428.6649,2.022568
407.364,48.473364
434.1208,56.230488
435.4333,46.575914
483.203,35.079745
428.29,49.34152
458.2683,25.181364
0.0002,46.230636
431.6727,2.263936
464.3297,13.770119
452.6572,25.859694
441.7809,54.400069
403.8946,28.025272
491.9742,13.838821
428.7725,37.19875
429.2081,17.465949
483.3921,42.026099
400.8887,24.125394
491.5834,49.970996
418.7609,16.663252
436.051,22.841971
482.0207,52.91703
409.1264,30.873522
468.5165,29.554813
440.4064,16.000312
419.2027,42.313898
469.1431,25.442394
458.4254,36.631871
408.5172,11.799884
400.5723,45.473314
487.2967,10.752831
455.1277,58.950551
452.401,8.411803
480.3389,12.265044
400.3295,44.954559
427.4147,15.253141
400.6062,11.302585
474.5645,21.156891
401.0174,9.104946
482.2654,37.823412
494.1933,39.518798
445.2867,10.667178
481.335,38.994736
442.161,28.702677
446.7998,32.285864
454.8847,41.522916
456.2513,37.361622
475.854,49.451192
443.6151,43.394768
409.0068,38.928174
453.3698,33.303245
442.4304,17.723005
484.3344,26.197346
410.0607,49.90321
404.7972,50.78105
416.4038,24.111951
497.3625,42.626005
425.9214,46.196363
427.0211,58.878975
447.3451,11.339533
464.5759,39.973391
422.3103,51.104368
415.0635,55.106522
462.1942,16.825574
424.1757,24.078963
431.8568,13.495112
464.8327,14.19972
470.2276,41.871786
474.1813,26.455571
415.4052,57.011738
456.3067,34.746442
455.7658,
427.9545,33.200862
494.014,34.67268
404.7955,33.309766
468.7914,5.716728
486.8054,15.670635
444.7156,35.822
452.0857,2.508326
436.8754,1.758074
448.7812,26.989218
412.1709,24.85387
419.3796,39.205331
465.6206,14.357163
452.2883,43.725634
438.4255,23.507837
439.46,43.847652
425.5858,3.97748
470.8909,31.988943
442.4172,13.790889
427.3006,40.009986
0.0002,14.546839
497.4769,40.34538
453.7394,3.022079
410.5682,18.160991
476.5654,55.876731
496.1143,45.402852
484.129,
487.3662,6.29457
418.7737,21.103539
438.0792,36.853468
443.7486,42.764549
466.5046,26.876169
482.9509,2.654017
497.0211,53.74436
444.98,27.509902
449.8694,9.825617
481.3225,50.664579
434.2555,13.724662
446.5744,1.883884
408.374,54.745928
469.4818,25.455749
411.4301,48.600159
438.4658,17.173556
403.8128,33.211356
486.0879,21.643593
403.8241,23.09803
488.1572,59.152866
455.6855,41.889769
481.2355,3.330583
491.6385,58.025493
425.8259,25.610739
423.8919,19.317736
483.1676,24.280425
453.4159,6.477156
446.5047,26.482466
434.694,56.111483
429.8254,51.959432
439.9731,24.107841
413.9512,37.980782
405.7936,45.110658
407.4209,2.47606
439.6344,55.816904
484.7865,17.686489
494.4062,11.214445
439.0156,50.074917
416.0317,56.294446
434.5417,42.622279
0.0002,36.001663
425.0229,33.713265
459.8537,56.956123
439.2339,10.925206
468.2338,54.706194
433.6684,46.864552
431.652,30.304881
417.081,9.523287
460.5887,53.499735
435.1437,33.778958
491.3407,30.23676
472.564,8.442211
494.9784,
409.4276,30.697829
493.6308,52.177065
400.5629,36.512418
436.9244,22.718972
482.8107,14.538341
410.6256,11.645092
488.033,57.738903
454.0753,50.364722
0.0002,
404.1356,10.47969
463.8752,45.732256
485.5921,5.737056
475.2382,40.891027
431.7642,50.260098
470.4511,18.409053
496.6925,18.417054
472.5183,
427.1124,7.228158
475.6918,50.592102
463.809,1.644088
492.0973,50.292538
422.3312,7.676741
477.4696,1.48498
451.6482,51.258297
431.9725,29.130033
495.1134,30.327279
441.6745,54.869362
455.748,11.908346
434.489,41.783403
492.3557,42.994916
468.5576,11.817074
410.0953,24.577978
498.2673,50.9078
433.1992,31.378665
428.8418,41.453375
433.0073,3.404538
474.3688,21.984865
484.1561,18.59879
488.2199,24.077569
483.6092,55.590513
448.7614,
402.7232,13.546209
478.2517,26.838031
435.3707,59.467912
488.4752,56.343055
478.8286,16.219026
432.9007,49.26617
421.7862,30.342542
474.0319,11.03118
453.9523,
473.8576,21.051552
493.2487,32.685041
457.6123,27.716811
401.0589,38.849318
483.1105,33.663838
494.8289,
433.8432,20.008489
498.9592,50.284357
425.36,2.802845
411.8758,20.628136
460.5891,27.373606
481.2889,12.032649
433.7691,36.475789
423.8933,
418.6559,29.282072
475.3942,54.822551
418.2048,15.454844
0.0002,30.189274
417.6822,17.359291
421.081,50.460571
415.8969,12.041402
461.7154,52.833521
453.2424,27.862163
436.1752,39.523408
461.4504,28.249321
433.6106,56.485984
487.037,39.849068
457.4636,13.901885
464.6824,37.033076
460.9001,45.910412
417.6941,18.365276
439.1737,42.608431
470.7209,10.507398
471.3035,24.30142
436.8035,10.741891
459.8057,37.40909
422.6658,2.692867
444.097,52.158032
486.0508,22.091928
478.2807,57.420331
404.9387,22.507034
444.3237,40.368422
479.9308,22.960788
438.9971,1.741866
490.3742,6.605483
487.1745,45.275707
474.8678,25.072615
408.4721,41.5474
454.3917,5.816188
423.2372,44.795262
485.8484,15.023216
475.5926,49.339215
449.8856,9.351987
496.4673,12.05953
0.0002,23.140408
441.5067,18.626385
421.0858,47.729103
486.7485,33.012047
481.0651,56.184337
486.0964,19.593799
404.9714,59.856034
435.0809,1.02873
446.9556,6.396742
0.0002,9.123015
403.1699,45.737042
494.6972,24.513112
438.089,8.079234
450.2714,3.588253
445.0362,3.290842
490.2555,41.770585
469.4271,32.061188
435.2218,9.634323
0.0002,54.37924
446.3296,56.618358
409.7826,42.365728
484.8089,
483.6452,53.529376
441.8549,52.176514
440.969,50.542549
437.6225,56.636967
489.178,54.473895
427.5823,32.879294
418.9286,6.875319
457.1397,15.328386
404.6054,35.04881
418.8217,47.158516
483.4934,36.67586
487.8023,13.900047
426.1326,15.933281
426.0629,19.553682
443.3782,31.060268
451.8028,32.191178
446.1666,8.33644
469.796,2.493379
413.3182,49.943935
499.1985,14.718224
483.4852,25.971155
433.0338,26.365768
458.0314,45.424945
411.9937,54.856243
404.6829,4.244821
419.0817,13.716392
487.251,28.363093
420.6319,48.178245
420.4383,49.426226
463.1899,22.076215
427.2864,14.65272
462.6812,56.478391
498.4928,52.858339
494.7312,14.393556
493.2956,33.382308
407.4975,38.792594
415.0313,51.419831
464.7338,41.286326
418.0275,51.086625
409.9284,54.393392
0.0002,
483.0892,
468.5709,3.553008
428.9865,57.334787
491.5651,28.092199
439.2226,19.664013
483.6057,37.285991
431.3887,43.521254
444.791,44.491696
452.9388,6.29939
474.4008,11.83873
439.4671,21.283316
489.4332,20.587973
455.7564,23.774096
436.5099,26.531554
424.1664,4.811848
449.8445,46.397467
461.5846,7.473291
463.2927,27.32651
482.4642,36.046532
472.794,2.073916
448.7121,39.944525
467.6217,13.55495
469.3999,21.749917
486.5005,32.589308
442.9229,19.788295
481.6305,41.118294
494.796,25.048358
437.949,19.699507
440.0925,49.012192
457.3349,26.408501
402.1485,16.121495
477.5409,47.258912
405.6152,6.93649
461.8264,18.321708
436.9932,8.597809
427.706,53.646386
465.1676,8.011633
438.358,58.452944
466.0456,59.487523
494.0327,7.124645
497.6779,15.287719
496.8461,49.138589
482.7918,5.72808
475.3805,51.901711
461.1578,38.259031
439.839,52.805672
491.1871,1.942069
495.2665,30.502755
474.8781,5.164869
448.8575,52.516548
453.9055,29.045738
452.1698,11.226505
401.7438,20.517574
476.9714,14.919685
424.9591,25.722782
493.45,
457.9386,47.127706
420.1949,29.856695
472.1624,37.14681
487.8743,34.837185
448.9007,11.313301
486.9686,26.364315
444.2266,39.54257
478.7397,28.688839
459.3189,39.575987
436.2169,7.435601
424.8339,25.10907
475.7483,39.273747
483.1448,48.621071
471.9056,
465.4282,27.956811
485.2434,14.231481
456.3037,22.290461
408.8156,32.19164
435.1311,8.639211
401.0384,12.455013
484.6156,41.486105
411.8381,38.752877
480.7189,18.014626
447.1121,37.771382
435.5898,8.61722
410.9586,31.732324
453.4529,32.889759
476.7653,4.291686
476.686,4.984176
459.4648,56.787126
458.8776,22.373991
473.5075,15.016419
407.0891,45.076189
480.6052,50.942457
471.3424,
473.5857,34.144139
479.8198,47.194042
446.8519,30.029566
457.1631,55.631188
497.0198,11.827938
497.516,39.222434
420.7602,24.792551
442.7036,5.817588
445.275,1.350574
415.1118,45.335321
418.4355,2.103637
0.0002,22.151654
426.0445,10.301932
406.03,47.33968
498.5179,25.44691
410.7815,35.991657
464.4061,45.71393
413.1057,24.256914
497.2879,7.815109
436.9896,3.226175
450.473,27.653157
485.3646,37.661589
411.5773,54.448765
474.5332,59.639833
437.705,44.335136
442.0978,30.466282
450.4738,40.959394
407.1979,50.319132
419.8592,13.343735
406.354,50.347612
436.3408,32.81087
491.1753,45.271275
493.1353,47.062469
432.6459,55.617693
426.9693,42.242416
464.7153,52.08587
400.2189,39.617423
426.7225,50.70501
439.5978,42.18561
433.3149,
432.8544,56.406556
458.9504,18.462252
464.8965,15.251076
404.9991,7.528751
455.9743,10.639582
406.9347,55.356758
428.9038,58.633489
482.6974,33.287667
495.4418,15.958741
448.6172,48.564769
441.6046,33.741747
414.4894,42.155365
481.7346,31.9069
418.5598,10.765683
420.741,12.058548
495.9146,42.890844
445.13,13.661484
470.6211,30.347244
427.3242,5.702971
460.7413,19.906936
444.2992,58.365553
417.5275,43.106884
455.2163,15.592166
490.1612,41.76083
468.8844,33.657531
470.3691,25.183049
479.1081,54.806443
421.4515,27.558014
428.1069,33.378064
411.3993,19.895728
474.4606,20.14513
476.5115,46.265646
435.0751,41.187006
431.4925,38.059579
486.7071,29.337702
484.1325,24.027678
498.5145,2.134039
0.0002,26.703182
457.7599,2.329967
498.8298,10.676087
454.416,59.072658
409.5699,
437.4362,15.530637
453.451,35.025803
415.8136,18.461307
416.3562,55.745435
489.0545,46.592757
426.1774,19.735019
487.3764,37.64626
440.3021,40.472413
418.6795,13.145085
440.1064,31.409753
460.3175,23.375768
439.3282,10.804676
428.0453,8.550814
433.8543,8.74149
452.451,24.32832
495.839,1.549863
417.8169,42.823144
491.0436,13.711299
403.8388,20.694129
